Year,Month_AR,Month_EN,Building Type_EN,Building Type_AR,  Number of building permits issued by type of building  
2015,يناير,January,Residential Villas,فيلا سكنية,162
2015,فبراير ,February,Residential Villas,فيلا سكنية,122
2015,مارس,March,Residential Villas,فيلا سكنية,136
2015,ابريل,April,Residential Villas,فيلا سكنية,143
2015,مايو ,May,Residential Villas,فيلا سكنية,179
2015,يونيو,June,Residential Villas,فيلا سكنية,181
2015,يوليو,July,Residential Villas,فيلا سكنية,168
2015,اغسطس,August,Residential Villas,فيلا سكنية,136
2015,سبتمبر,September,Residential Villas,فيلا سكنية,147
2015,اكتوبر,October,Residential Villas,فيلا سكنية,145
2015,نوفمبر,November,Residential Villas,فيلا سكنية,165
2015,ديسيمبر,December,Residential Villas,فيلا سكنية,134
2015,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,33
2015,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,30
2015,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,37
2015,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,47
2015,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,45
2015,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,38
2015,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,26
2015,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,31
2015,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,40
2015,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,24
2015,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,48
2015,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,28
2015,يناير,January,Industrial Buildings,مباني صناعية,21
2015,فبراير ,February,Industrial Buildings,مباني صناعية,13
2015,مارس,March,Industrial Buildings,مباني صناعية,9
2015,ابريل,April,Industrial Buildings,مباني صناعية,10
2015,مايو ,May,Industrial Buildings,مباني صناعية,23
2015,يونيو,June,Industrial Buildings,مباني صناعية,18
2015,يوليو,July,Industrial Buildings,مباني صناعية,21
2015,اغسطس,August,Industrial Buildings,مباني صناعية,7
2015,سبتمبر,September,Industrial Buildings,مباني صناعية,18
2015,اكتوبر,October,Industrial Buildings,مباني صناعية,8
2015,نوفمبر,November,Industrial Buildings,مباني صناعية,12
2015,ديسيمبر,December,Industrial Buildings,مباني صناعية,13
2015,يناير,January,Government Buildings,مباني حكومية,5
2015,فبراير ,February,Government Buildings,مباني حكومية,0
2015,مارس,March,Government Buildings,مباني حكومية,1
2015,ابريل,April,Government Buildings,مباني حكومية,0
2015,مايو ,May,Government Buildings,مباني حكومية,0
2015,يونيو,June,Government Buildings,مباني حكومية,1
2015,يوليو,July,Government Buildings,مباني حكومية,1
2015,اغسطس,August,Government Buildings,مباني حكومية,2
2015,سبتمبر,September,Government Buildings,مباني حكومية,0
2015,اكتوبر,October,Government Buildings,مباني حكومية,2
2015,نوفمبر,November,Government Buildings,مباني حكومية,0
2015,ديسيمبر,December,Government Buildings,مباني حكومية,0
2015,يناير,January,Others,أخرى,60
2015,فبراير ,February,Others,أخرى,65
2015,مارس,March,Others,أخرى,76
2015,ابريل,April,Others,أخرى,67
2015,مايو ,May,Others,أخرى,66
2015,يونيو,June,Others,أخرى,62
2015,يوليو,July,Others,أخرى,37
2015,اغسطس,August,Others,أخرى,41
2015,سبتمبر,September,Others,أخرى,34
2015,اكتوبر,October,Others,أخرى,49
2015,نوفمبر,November,Others,أخرى,64
2015,ديسيمبر,December,Others,أخرى,52
2016,يناير,January,Residential Villas,فيلا سكنية,118
2016,فبراير ,February,Residential Villas,فيلا سكنية,120
2016,مارس,March,Residential Villas,فيلا سكنية,143
2016,ابريل,April,Residential Villas,فيلا سكنية,114
2016,مايو ,May,Residential Villas,فيلا سكنية,129
2016,يونيو,June,Residential Villas,فيلا سكنية,175
2016,يوليو,July,Residential Villas,فيلا سكنية,105
2016,اغسطس,August,Residential Villas,فيلا سكنية,108
2016,سبتمبر,September,Residential Villas,فيلا سكنية,120
2016,اكتوبر,October,Residential Villas,فيلا سكنية,175
2016,نوفمبر,November,Residential Villas,فيلا سكنية,153
2016,ديسيمبر,December,Residential Villas,فيلا سكنية,133
2016,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,28
2016,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,34
2016,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,37
2016,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,23
2016,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,56
2016,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,34
2016,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,38
2016,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,47
2016,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,35
2016,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,54
2016,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,64
2016,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,54
2016,يناير,January,Industrial Buildings,مباني صناعية,6
2016,فبراير ,February,Industrial Buildings,مباني صناعية,10
2016,مارس,March,Industrial Buildings,مباني صناعية,10
2016,ابريل,April,Industrial Buildings,مباني صناعية,10
2016,مايو ,May,Industrial Buildings,مباني صناعية,16
2016,يونيو,June,Industrial Buildings,مباني صناعية,8
2016,يوليو,July,Industrial Buildings,مباني صناعية,2
2016,اغسطس,August,Industrial Buildings,مباني صناعية,10
2016,سبتمبر,September,Industrial Buildings,مباني صناعية,5
2016,اكتوبر,October,Industrial Buildings,مباني صناعية,4
2016,نوفمبر,November,Industrial Buildings,مباني صناعية,9
2016,ديسيمبر,December,Industrial Buildings,مباني صناعية,14
2016,يناير,January,Government Buildings,مباني حكومية,2
2016,فبراير ,February,Government Buildings,مباني حكومية,2
2016,مارس,March,Government Buildings,مباني حكومية,0
2016,ابريل,April,Government Buildings,مباني حكومية,1
2016,مايو ,May,Government Buildings,مباني حكومية,1
2016,يونيو,June,Government Buildings,مباني حكومية,2
2016,يوليو,July,Government Buildings,مباني حكومية,3
2016,اغسطس,August,Government Buildings,مباني حكومية,2
2016,سبتمبر,September,Government Buildings,مباني حكومية,1
2016,اكتوبر,October,Government Buildings,مباني حكومية,1
2016,نوفمبر,November,Government Buildings,مباني حكومية,0
2016,ديسيمبر,December,Government Buildings,مباني حكومية,1
2016,يناير,January,Others,أخرى,47
2016,فبراير ,February,Others,أخرى,54
2016,مارس,March,Others,أخرى,45
2016,ابريل,April,Others,أخرى,53
2016,مايو ,May,Others,أخرى,58
2016,يونيو,June,Others,أخرى,29
2016,يوليو,July,Others,أخرى,37
2016,اغسطس,August,Others,أخرى,62
2016,سبتمبر,September,Others,أخرى,43
2016,اكتوبر,October,Others,أخرى,58
2016,نوفمبر,November,Others,أخرى,48
2016,ديسيمبر,December,Others,أخرى,52
2017,يناير,January,Residential Villas,فيلا سكنية,152
2017,فبراير ,February,Residential Villas,فيلا سكنية,124
2017,مارس,March,Residential Villas,فيلا سكنية,128
2017,ابريل,April,Residential Villas,فيلا سكنية,140
2017,مايو ,May,Residential Villas,فيلا سكنية,160
2017,يونيو,June,Residential Villas,فيلا سكنية,73
2017,يوليو,July,Residential Villas,فيلا سكنية,114
2017,اغسطس,August,Residential Villas,فيلا سكنية,167
2017,سبتمبر,September,Residential Villas,فيلا سكنية,80
2017,اكتوبر,October,Residential Villas,فيلا سكنية,109
2017,نوفمبر,November,Residential Villas,فيلا سكنية,104
2017,ديسيمبر,December,Residential Villas,فيلا سكنية,107
2017,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,55
2017,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,49
2017,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,65
2017,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,61
2017,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,86
2017,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,74
2017,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,91
2017,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,142
2017,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,58
2017,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,49
2017,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,49
2017,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,43
2017,يناير,January,Industrial Buildings,مباني صناعية,10
2017,فبراير ,February,Industrial Buildings,مباني صناعية,4
2017,مارس,March,Industrial Buildings,مباني صناعية,6
2017,ابريل,April,Industrial Buildings,مباني صناعية,15
2017,مايو ,May,Industrial Buildings,مباني صناعية,7
2017,يونيو,June,Industrial Buildings,مباني صناعية,8
2017,يوليو,July,Industrial Buildings,مباني صناعية,11
2017,اغسطس,August,Industrial Buildings,مباني صناعية,16
2017,سبتمبر,September,Industrial Buildings,مباني صناعية,10
2017,اكتوبر,October,Industrial Buildings,مباني صناعية,16
2017,نوفمبر,November,Industrial Buildings,مباني صناعية,9
2017,ديسيمبر,December,Industrial Buildings,مباني صناعية,5
2017,يناير,January,Government Buildings,مباني حكومية,3
2017,فبراير ,February,Government Buildings,مباني حكومية,2
2017,مارس,March,Government Buildings,مباني حكومية,1
2017,ابريل,April,Government Buildings,مباني حكومية,0
2017,مايو ,May,Government Buildings,مباني حكومية,1
2017,يونيو,June,Government Buildings,مباني حكومية,0
2017,يوليو,July,Government Buildings,مباني حكومية,1
2017,اغسطس,August,Government Buildings,مباني حكومية,0
2017,سبتمبر,September,Government Buildings,مباني حكومية,0
2017,اكتوبر,October,Government Buildings,مباني حكومية,0
2017,نوفمبر,November,Government Buildings,مباني حكومية,1
2017,ديسيمبر,December,Government Buildings,مباني حكومية,0
2017,يناير,January,Others,أخرى,39
2017,فبراير ,February,Others,أخرى,38
2017,مارس,March,Others,أخرى,59
2017,ابريل,April,Others,أخرى,50
2017,مايو ,May,Others,أخرى,59
2017,يونيو,June,Others,أخرى,29
2017,يوليو,July,Others,أخرى,39
2017,اغسطس,August,Others,أخرى,40
2017,سبتمبر,September,Others,أخرى,75
2017,اكتوبر,October,Others,أخرى,40
2017,نوفمبر,November,Others,أخرى,21
2017,ديسيمبر,December,Others,أخرى,15
2018,يناير,January,Residential Villas,فيلا سكنية,165
2018,فبراير ,February,Residential Villas,فيلا سكنية,142
2018,مارس,March,Residential Villas,فيلا سكنية,144
2018,ابريل,April,Residential Villas,فيلا سكنية,123
2018,مايو ,May,Residential Villas,فيلا سكنية,157
2018,يونيو,June,Residential Villas,فيلا سكنية,76
2018,يوليو,July,Residential Villas,فيلا سكنية,103
2018,اغسطس,August,Residential Villas,فيلا سكنية,81
2018,سبتمبر,September,Residential Villas,فيلا سكنية,84
2018,اكتوبر,October,Residential Villas,فيلا سكنية,78
2018,نوفمبر,November,Residential Villas,فيلا سكنية,43
2018,ديسيمبر,December,Residential Villas,فيلا سكنية,57
2018,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,83
2018,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,92
2018,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,71
2018,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,50
2018,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,43
2018,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,41
2018,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,67
2018,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,56
2018,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,43
2018,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,51
2018,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,53
2018,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,61
2018,يناير,January,Industrial Buildings,مباني صناعية,23
2018,فبراير ,February,Industrial Buildings,مباني صناعية,12
2018,مارس,March,Industrial Buildings,مباني صناعية,16
2018,ابريل,April,Industrial Buildings,مباني صناعية,12
2018,مايو ,May,Industrial Buildings,مباني صناعية,15
2018,يونيو,June,Industrial Buildings,مباني صناعية,12
2018,يوليو,July,Industrial Buildings,مباني صناعية,14
2018,اغسطس,August,Industrial Buildings,مباني صناعية,5
2018,سبتمبر,September,Industrial Buildings,مباني صناعية,13
2018,اكتوبر,October,Industrial Buildings,مباني صناعية,10
2018,نوفمبر,November,Industrial Buildings,مباني صناعية,9
2018,ديسيمبر,December,Industrial Buildings,مباني صناعية,9
2018,يناير,January,Government Buildings,مباني حكومية,1
2018,فبراير ,February,Government Buildings,مباني حكومية,0
2018,مارس,March,Government Buildings,مباني حكومية,0
2018,ابريل,April,Government Buildings,مباني حكومية,1
2018,مايو ,May,Government Buildings,مباني حكومية,2
2018,يونيو,June,Government Buildings,مباني حكومية,1
2018,يوليو,July,Government Buildings,مباني حكومية,4
2018,اغسطس,August,Government Buildings,مباني حكومية,2
2018,سبتمبر,September,Government Buildings,مباني حكومية,1
2018,اكتوبر,October,Government Buildings,مباني حكومية,0
2018,نوفمبر,November,Government Buildings,مباني حكومية,1
2018,ديسيمبر,December,Government Buildings,مباني حكومية,3
2018,يناير,January,Others,أخرى,21
2018,فبراير ,February,Others,أخرى,22
2018,مارس,March,Others,أخرى,22
2018,ابريل,April,Others,أخرى,42
2018,مايو ,May,Others,أخرى,21
2018,يونيو,June,Others,أخرى,27
2018,يوليو,July,Others,أخرى,31
2018,اغسطس,August,Others,أخرى,23
2018,سبتمبر,September,Others,أخرى,48
2018,اكتوبر,October,Others,أخرى,9
2018,نوفمبر,November,Others,أخرى,6
2018,ديسيمبر,December,Others,أخرى,3
2019,يناير,January,Residential Villas,فيلا سكنية,101
2019,فبراير ,February,Residential Villas,فيلا سكنية,108
2019,مارس,March,Residential Villas,فيلا سكنية,135
2019,ابريل,April,Residential Villas,فيلا سكنية,136
2019,مايو ,May,Residential Villas,فيلا سكنية,150
2019,يونيو,June,Residential Villas,فيلا سكنية,113
2019,يوليو,July,Residential Villas,فيلا سكنية,155
2019,اغسطس,August,Residential Villas,فيلا سكنية,114
2019,سبتمبر,September,Residential Villas,فيلا سكنية,155
2019,اكتوبر,October,Residential Villas,فيلا سكنية,178
2019,نوفمبر,November,Residential Villas,فيلا سكنية,115
2019,ديسيمبر,December,Residential Villas,فيلا سكنية,151
2019,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,43
2019,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,47
2019,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,50
2019,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,66
2019,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,66
2019,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,46
2019,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,64
2019,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,36
2019,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,61
2019,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,83
2019,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,58
2019,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,67
2019,يناير,January,Industrial Buildings,مباني صناعية,14
2019,فبراير ,February,Industrial Buildings,مباني صناعية,14
2019,مارس,March,Industrial Buildings,مباني صناعية,13
2019,ابريل,April,Industrial Buildings,مباني صناعية,16
2019,مايو ,May,Industrial Buildings,مباني صناعية,9
2019,يونيو,June,Industrial Buildings,مباني صناعية,7
2019,يوليو,July,Industrial Buildings,مباني صناعية,11
2019,اغسطس,August,Industrial Buildings,مباني صناعية,7
2019,سبتمبر,September,Industrial Buildings,مباني صناعية,10
2019,اكتوبر,October,Industrial Buildings,مباني صناعية,13
2019,نوفمبر,November,Industrial Buildings,مباني صناعية,15
2019,ديسيمبر,December,Industrial Buildings,مباني صناعية,16
2019,يناير,January,Government Buildings,مباني حكومية,0
2019,فبراير ,February,Government Buildings,مباني حكومية,0
2019,مارس,March,Government Buildings,مباني حكومية,0
2019,ابريل,April,Government Buildings,مباني حكومية,2
2019,مايو ,May,Government Buildings,مباني حكومية,1
2019,يونيو,June,Government Buildings,مباني حكومية,0
2019,يوليو,July,Government Buildings,مباني حكومية,2
2019,اغسطس,August,Government Buildings,مباني حكومية,0
2019,سبتمبر,September,Government Buildings,مباني حكومية,2
2019,اكتوبر,October,Government Buildings,مباني حكومية,4
2019,نوفمبر,November,Government Buildings,مباني حكومية,0
2019,ديسيمبر,December,Government Buildings,مباني حكومية,1
2019,يناير,January,Others,أخرى,7
2019,فبراير ,February,Others,أخرى,9
2019,مارس,March,Others,أخرى,8
2019,ابريل,April,Others,أخرى,7
2019,مايو ,May,Others,أخرى,9
2019,يونيو,June,Others,أخرى,5
2019,يوليو,July,Others,أخرى,20
2019,اغسطس,August,Others,أخرى,9
2019,سبتمبر,September,Others,أخرى,11
2019,اكتوبر,October,Others,أخرى,14
2019,نوفمبر,November,Others,أخرى,13
2019,ديسيمبر,December,Others,أخرى,5
2020,يناير,January,Residential Villas,فيلا سكنية,202
2020,فبراير ,February,Residential Villas,فيلا سكنية,369
2020,مارس,March,Residential Villas,فيلا سكنية,211
2020,ابريل,April,Residential Villas,فيلا سكنية,142
2020,مايو ,May,Residential Villas,فيلا سكنية,103
2020,يونيو,June,Residential Villas,فيلا سكنية,194
2020,يوليو,July,Residential Villas,فيلا سكنية,166
2020,اغسطس,August,Residential Villas,فيلا سكنية,181
2020,سبتمبر,September,Residential Villas,فيلا سكنية,200
2020,اكتوبر,October,Residential Villas,فيلا سكنية,210
2020,نوفمبر,November,Residential Villas,فيلا سكنية,292
2020,ديسيمبر,December,Residential Villas,فيلا سكنية,195
2020,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,53
2020,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,66
2020,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,47
2020,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,53
2020,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,34
2020,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,64
2020,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,52
2020,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,46
2020,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,62
2020,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,42
2020,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,68
2020,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,44
2020,يناير,January,Industrial Buildings,مباني صناعية,6
2020,فبراير ,February,Industrial Buildings,مباني صناعية,12
2020,مارس,March,Industrial Buildings,مباني صناعية,8
2020,ابريل,April,Industrial Buildings,مباني صناعية,5
2020,مايو ,May,Industrial Buildings,مباني صناعية,3
2020,يونيو,June,Industrial Buildings,مباني صناعية,7
2020,يوليو,July,Industrial Buildings,مباني صناعية,12
2020,اغسطس,August,Industrial Buildings,مباني صناعية,9
2020,سبتمبر,September,Industrial Buildings,مباني صناعية,13
2020,اكتوبر,October,Industrial Buildings,مباني صناعية,10
2020,نوفمبر,November,Industrial Buildings,مباني صناعية,18
2020,ديسيمبر,December,Industrial Buildings,مباني صناعية,11
2020,يناير,January,Government Buildings,مباني حكومية,1
2020,فبراير ,February,Government Buildings,مباني حكومية,1
2020,مارس,March,Government Buildings,مباني حكومية,1
2020,ابريل,April,Government Buildings,مباني حكومية,0
2020,مايو ,May,Government Buildings,مباني حكومية,0
2020,يونيو,June,Government Buildings,مباني حكومية,1
2020,يوليو,July,Government Buildings,مباني حكومية,0
2020,اغسطس,August,Government Buildings,مباني حكومية,1
2020,سبتمبر,September,Government Buildings,مباني حكومية,1
2020,اكتوبر,October,Government Buildings,مباني حكومية,3
2020,نوفمبر,November,Government Buildings,مباني حكومية,1
2020,ديسيمبر,December,Government Buildings,مباني حكومية,1
2020,يناير,January,Others,أخرى,15
2020,فبراير ,February,Others,أخرى,13
2020,مارس,March,Others,أخرى,10
2020,ابريل,April,Others,أخرى,13
2020,مايو ,May,Others,أخرى,8
2020,يونيو,June,Others,أخرى,17
2020,يوليو,July,Others,أخرى,14
2020,اغسطس,August,Others,أخرى,13
2020,سبتمبر,September,Others,أخرى,11
2020,اكتوبر,October,Others,أخرى,5
2020,نوفمبر,November,Others,أخرى,9
2020,ديسيمبر,December,Others,أخرى,12
2021,يناير,January,Residential Villas,فيلا سكنية,234
2021,فبراير ,February,Residential Villas,فيلا سكنية,350
2021,مارس,March,Residential Villas,فيلا سكنية,297
2021,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,4
2021,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,4
2021,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,2
2021,يناير,January,Industrial Buildings,مباني صناعية,8
2021,فبراير ,February,Industrial Buildings,مباني صناعية,5
2021,مارس,March,Industrial Buildings,مباني صناعية,15
2021,يناير,January,Government Buildings,مباني حكومية,0
2021,فبراير ,February,Government Buildings,مباني حكومية,2
2021,مارس,March,Government Buildings,مباني حكومية,0
2021,يناير,January,Others,أخرى,49
2021,فبراير ,February,Others,أخرى,42
2021,مارس,March,Others,أخرى,96
