Academic Year_EN,Semester_En,College_EN,Degree_EN,Nationality_EN,Gender_EN,Total
2022-2023,Spring 2023,Information Technology,Doctorate,National,Male,2
2022-2023,Spring 2023,Information Technology,Doctorate,Non-national,Female,16
2022-2023,Spring 2023,Information Technology,Doctorate,Non-national,Male,19
2022-2023,Spring 2023,Law,Doctorate,National,Female,7
2022-2023,Spring 2023,Law,Doctorate,National,Male,9
2022-2023,Spring 2023,Law,Doctorate,Non-national,Female,2
2022-2023,Spring 2023,Law,Doctorate,Non-national,Male,2
2022-2023,Spring 2023,Medicine & Health Sciences,Doctorate,National,Female,14
2022-2023,Spring 2023,Medicine & Health Sciences,Doctorate,Non-national,Female,62
2022-2023,Spring 2023,Medicine & Health Sciences,Doctorate,Non-national,Male,15
2022-2023,Spring 2023,Science,Doctorate,National,Female,11
2022-2023,Spring 2023,Science,Doctorate,National,Male,3
2022-2023,Spring 2023,Science,Doctorate,Non-national,Female,45
2022-2023,Spring 2023,Science,Doctorate,Non-national,Male,25
2018-2019,Fall 2018,Business & Economics,Master,National,Female,69
2018-2019,Fall 2018,Business & Economics,Master,National,Male,21
2018-2019,Fall 2018,Business & Economics,Master,Non-national,Female,9
2018-2019,Fall 2018,Business & Economics,Master,Non-national,Male,11
2018-2019,Fall 2018,Education,Master,National,Female,41
2018-2019,Fall 2018,Education,Master,Non-national,Female,26
2018-2019,Fall 2018,Education,Master,Non-national,Male,6
2018-2019,Fall 2018,Engineering,Master,National,Female,63
2018-2019,Fall 2018,Engineering,Master,National,Male,29
2018-2019,Fall 2018,Engineering,Master,Non-national,Female,67
2018-2019,Fall 2018,Engineering,Master,Non-national,Male,93
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Master,National,Female,15
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Master,National,Male,5
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Master,Non-national,Female,4
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Master,Non-national,Male,3
2018-2019,Fall 2018,Humanities & Social Sciences,Master,National,Female,55
2018-2019,Fall 2018,Humanities & Social Sciences,Master,National,Male,7
2018-2019,Fall 2018,Humanities & Social Sciences,Master,Non-national,Female,21
2018-2019,Fall 2018,Humanities & Social Sciences,Master,Non-national,Male,1
2018-2019,Fall 2018,Information Technology,Master,National,Female,25
2018-2019,Fall 2018,Information Technology,Master,National,Male,4
2018-2019,Fall 2018,Information Technology,Master,Non-national,Female,3
2018-2019,Fall 2018,Information Technology,Master,Non-national,Male,4
2018-2019,Fall 2018,Law,Master,National,Female,33
2018-2019,Fall 2018,Law,Master,National,Male,37
2018-2019,Fall 2018,Law,Master,Non-national,Female,5
2018-2019,Fall 2018,Law,Master,Non-national,Male,9
2018-2019,Fall 2018,Medicine & Health Sciences,Master,National,Female,15
2018-2019,Fall 2018,Medicine & Health Sciences,Master,National,Male,1
2018-2019,Fall 2018,Medicine & Health Sciences,Master,Non-national,Female,38
2018-2019,Fall 2018,Medicine & Health Sciences,Master,Non-national,Male,8
2018-2019,Fall 2018,Science,Master,National,Female,35
2018-2019,Fall 2018,Science,Master,National,Male,4
2018-2019,Fall 2018,Science,Master,Non-national,Female,38
2018-2019,Fall 2018,Science,Master,Non-national,Male,15
2018-2019,Spring 2019,Business & Economics,Master,National,Female,54
2018-2019,Spring 2019,Business & Economics,Master,National,Male,21
2018-2019,Spring 2019,Business & Economics,Master,Non-national,Female,6
2018-2019,Spring 2019,Business & Economics,Master,Non-national,Male,9
2018-2019,Spring 2019,Education,Master,National,Female,40
2018-2019,Spring 2019,Education,Master,Non-national,Female,25
2018-2019,Spring 2019,Education,Master,Non-national,Male,4
2018-2019,Spring 2019,Engineering,Master,National,Female,63
2018-2019,Spring 2019,Engineering,Master,National,Male,28
2018-2019,Spring 2019,Engineering,Master,Non-national,Female,68
2018-2019,Spring 2019,Engineering,Master,Non-national,Male,94
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Master,National,Female,17
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Master,National,Male,3
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Master,Non-national,Female,3
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Master,Non-national,Male,2
2018-2019,Spring 2019,Humanities & Social Sciences,Master,National,Female,54
2018-2019,Spring 2019,Humanities & Social Sciences,Master,National,Male,5
2018-2019,Spring 2019,Humanities & Social Sciences,Master,Non-national,Female,21
2018-2019,Spring 2019,Humanities & Social Sciences,Master,Non-national,Male,1
2018-2019,Spring 2019,Information Technology,Master,National,Female,18
2018-2019,Spring 2019,Information Technology,Master,National,Male,4
2018-2019,Spring 2019,Information Technology,Master,Non-national,Female,5
2018-2019,Spring 2019,Information Technology,Master,Non-national,Male,3
2018-2019,Spring 2019,Law,Master,National,Female,32
2018-2019,Spring 2019,Law,Master,National,Male,22
2018-2019,Spring 2019,Law,Master,Non-national,Female,3
2018-2019,Spring 2019,Law,Master,Non-national,Male,7
2018-2019,Spring 2019,Medicine & Health Sciences,Master,National,Female,12
2018-2019,Spring 2019,Medicine & Health Sciences,Master,Non-national,Female,36
2018-2019,Spring 2019,Medicine & Health Sciences,Master,Non-national,Male,7
2018-2019,Spring 2019,Science,Master,National,Female,37
2018-2019,Spring 2019,Science,Master,National,Male,2
2018-2019,Spring 2019,Science,Master,Non-national,Female,37
2018-2019,Spring 2019,Science,Master,Non-national,Male,16
2019-2020,Fall 2019,Business & Economics,Master,National,Female,62
2019-2020,Fall 2019,Business & Economics,Master,National,Male,24
2019-2020,Fall 2019,Business & Economics,Master,Non-national,Female,6
2019-2020,Fall 2019,Business & Economics,Master,Non-national,Male,9
2019-2020,Fall 2019,Education,Master,National,Female,56
2019-2020,Fall 2019,Education,Master,Non-national,Female,29
2019-2020,Fall 2019,Education,Master,Non-national,Male,4
2019-2020,Fall 2019,Engineering,Master,National,Female,59
2019-2020,Fall 2019,Engineering,Master,National,Male,29
2019-2020,Fall 2019,Engineering,Master,Non-national,Female,71
2019-2020,Fall 2019,Engineering,Master,Non-national,Male,72
2019-2020,Fall 2019,Agriculture & Veterinary Med.,Master,National,Female,15
2019-2020,Fall 2019,Agriculture & Veterinary Med.,Master,National,Male,6
2019-2020,Fall 2019,Agriculture & Veterinary Med.,Master,Non-national,Female,7
2019-2020,Fall 2019,Agriculture & Veterinary Med.,Master,Non-national,Male,1
2019-2020,Fall 2019,Humanities & Social Sciences,Master,National,Female,60
2019-2020,Fall 2019,Humanities & Social Sciences,Master,National,Male,9
2019-2020,Fall 2019,Humanities & Social Sciences,Master,Non-national,Female,26
2019-2020,Fall 2019,Humanities & Social Sciences,Master,Non-national,Male,4
2019-2020,Fall 2019,Information Technology,Master,National,Female,18
2019-2020,Fall 2019,Information Technology,Master,National,Male,6
2019-2020,Fall 2019,Information Technology,Master,Non-national,Female,5
2019-2020,Fall 2019,Information Technology,Master,Non-national,Male,5
2019-2020,Fall 2019,Law,Master,National,Female,34
2019-2020,Fall 2019,Law,Master,National,Male,19
2019-2020,Fall 2019,Law,Master,Non-national,Female,5
2019-2020,Fall 2019,Law,Master,Non-national,Male,7
2019-2020,Fall 2019,Medicine & Health Sciences,Master,National,Female,13
2019-2020,Fall 2019,Medicine & Health Sciences,Master,National,Male,1
2019-2020,Fall 2019,Medicine & Health Sciences,Master,Non-national,Female,33
2019-2020,Fall 2019,Medicine & Health Sciences,Master,Non-national,Male,6
2019-2020,Fall 2019,Science,Master,National,Female,33
2019-2020,Fall 2019,Science,Master,National,Male,2
2019-2020,Fall 2019,Science,Master,Non-national,Female,41
2019-2020,Fall 2019,Science,Master,Non-national,Male,18
2019-2020,Spring 2020,Business & Economics,Master,National,Female,46
2019-2020,Spring 2020,Business & Economics,Master,National,Male,18
2019-2020,Spring 2020,Business & Economics,Master,Non-national,Female,5
2019-2020,Spring 2020,Business & Economics,Master,Non-national,Male,6
2019-2020,Spring 2020,Education,Master,National,Female,41
2019-2020,Spring 2020,Education,Master,Non-national,Female,30
2019-2020,Spring 2020,Education,Master,Non-national,Male,3
2019-2020,Spring 2020,Engineering,Master,National,Female,69
2019-2020,Spring 2020,Engineering,Master,National,Male,31
2019-2020,Spring 2020,Engineering,Master,Non-national,Female,72
2019-2020,Spring 2020,Engineering,Master,Non-national,Male,80
2019-2020,Spring 2020,Agriculture & Veterinary Med.,Master,National,Female,13
2019-2020,Spring 2020,Agriculture & Veterinary Med.,Master,National,Male,5
2019-2020,Spring 2020,Agriculture & Veterinary Med.,Master,Non-national,Female,7
2019-2020,Spring 2020,Agriculture & Veterinary Med.,Master,Non-national,Male,1
2019-2020,Spring 2020,Humanities & Social Sciences,Master,National,Female,50
2019-2020,Spring 2020,Humanities & Social Sciences,Master,National,Male,5
2019-2020,Spring 2020,Humanities & Social Sciences,Master,Non-national,Female,27
2019-2020,Spring 2020,Humanities & Social Sciences,Master,Non-national,Male,3
2019-2020,Spring 2020,Information Technology,Master,National,Female,22
2019-2020,Spring 2020,Information Technology,Master,National,Male,7
2019-2020,Spring 2020,Information Technology,Master,Non-national,Female,3
2019-2020,Spring 2020,Information Technology,Master,Non-national,Male,6
2019-2020,Spring 2020,Law,Master,National,Female,30
2019-2020,Spring 2020,Law,Master,National,Male,12
2019-2020,Spring 2020,Law,Master,Non-national,Female,4
2019-2020,Spring 2020,Law,Master,Non-national,Male,2
2019-2020,Spring 2020,Medicine & Health Sciences,Master,National,Female,10
2019-2020,Spring 2020,Medicine & Health Sciences,Master,National,Male,1
2019-2020,Spring 2020,Medicine & Health Sciences,Master,Non-national,Female,27
2019-2020,Spring 2020,Medicine & Health Sciences,Master,Non-national,Male,4
2019-2020,Spring 2020,Science,Master,National,Female,26
2019-2020,Spring 2020,Science,Master,National,Male,2
2019-2020,Spring 2020,Science,Master,Non-national,Female,43
2019-2020,Spring 2020,Science,Master,Non-national,Male,18
2020-2021,Fall 2020,Business & Economics,Master,National,Female,48
2020-2021,Fall 2020,Business & Economics,Master,National,Male,13
2020-2021,Fall 2020,Business & Economics,Master,Non-national,Female,5
2020-2021,Fall 2020,Business & Economics,Master,Non-national,Male,5
2020-2021,Fall 2020,Education,Master,National,Female,68
2020-2021,Fall 2020,Education,Master,National,Male,1
2020-2021,Fall 2020,Education,Master,Non-national,Female,44
2020-2021,Fall 2020,Education,Master,Non-national,Male,3
2020-2021,Fall 2020,Engineering,Master,National,Female,84
2020-2021,Fall 2020,Engineering,Master,National,Male,31
2020-2021,Fall 2020,Engineering,Master,Non-national,Female,78
2020-2021,Fall 2020,Engineering,Master,Non-national,Male,100
2020-2021,Fall 2020,Agriculture & Veterinary Med.,Master,National,Female,20
2020-2021,Fall 2020,Agriculture & Veterinary Med.,Master,National,Male,5
2020-2021,Fall 2020,Agriculture & Veterinary Med.,Master,Non-national,Female,15
2020-2021,Fall 2020,Agriculture & Veterinary Med.,Master,Non-national,Male,9
2020-2021,Fall 2020,Humanities & Social Sciences,Master,National,Female,100
2020-2021,Fall 2020,Humanities & Social Sciences,Master,National,Male,7
2020-2021,Fall 2020,Humanities & Social Sciences,Master,Non-national,Female,36
2020-2021,Fall 2020,Humanities & Social Sciences,Master,Non-national,Male,5
2020-2021,Fall 2020,Information Technology,Master,National,Female,33
2020-2021,Fall 2020,Information Technology,Master,National,Male,7
2020-2021,Fall 2020,Information Technology,Master,Non-national,Female,7
2020-2021,Fall 2020,Information Technology,Master,Non-national,Male,7
2020-2021,Fall 2020,Law,Master,National,Female,31
2020-2021,Fall 2020,Law,Master,National,Male,18
2020-2021,Fall 2020,Law,Master,Non-national,Female,5
2020-2021,Fall 2020,Law,Master,Non-national,Male,2
2020-2021,Fall 2020,Medicine & Health Sciences,Master,National,Female,19
2020-2021,Fall 2020,Medicine & Health Sciences,Master,National,Male,1
2020-2021,Fall 2020,Medicine & Health Sciences,Master,Non-national,Female,36
2020-2021,Fall 2020,Medicine & Health Sciences,Master,Non-national,Male,4
2020-2021,Fall 2020,Science,Master,National,Female,34
2020-2021,Fall 2020,Science,Master,National,Male,2
2020-2021,Fall 2020,Science,Master,Non-national,Female,44
2020-2021,Fall 2020,Science,Master,Non-national,Male,22
2020-2021,Spring 2021,Business & Economics,Master,National,Female,39
2020-2021,Spring 2021,Business & Economics,Master,National,Male,10
2020-2021,Spring 2021,Business & Economics,Master,Non-national,Female,3
2020-2021,Spring 2021,Business & Economics,Master,Non-national,Male,4
2020-2021,Spring 2021,Education,Master,National,Female,46
2020-2021,Spring 2021,Education,Master,National,Male,1
2020-2021,Spring 2021,Education,Master,Non-national,Female,37
2020-2021,Spring 2021,Education,Master,Non-national,Male,2
2020-2021,Spring 2021,Engineering,Master,National,Female,81
2020-2021,Spring 2021,Engineering,Master,National,Male,24
2020-2021,Spring 2021,Engineering,Master,Non-national,Female,65
2020-2021,Spring 2021,Engineering,Master,Non-national,Male,104
2020-2021,Spring 2021,Agriculture & Veterinary Med.,Master,National,Female,19
2020-2021,Spring 2021,Agriculture & Veterinary Med.,Master,National,Male,3
2020-2021,Spring 2021,Agriculture & Veterinary Med.,Master,Non-national,Female,9
2020-2021,Spring 2021,Agriculture & Veterinary Med.,Master,Non-national,Male,3
2020-2021,Spring 2021,Humanities & Social Sciences,Master,National,Female,42
2020-2021,Spring 2021,Humanities & Social Sciences,Master,National,Male,3
2020-2021,Spring 2021,Humanities & Social Sciences,Master,Non-national,Female,4
2020-2021,Spring 2021,Humanities & Social Sciences,Master,Non-national,Male,1
2020-2021,Spring 2021,Information Technology,Master,National,Female,24
2020-2021,Spring 2021,Information Technology,Master,National,Male,7
2020-2021,Spring 2021,Information Technology,Master,Non-national,Female,7
2020-2021,Spring 2021,Information Technology,Master,Non-national,Male,6
2020-2021,Spring 2021,Law,Master,National,Female,28
2020-2021,Spring 2021,Law,Master,National,Male,15
2020-2021,Spring 2021,Law,Master,Non-national,Female,3
2020-2021,Spring 2021,Law,Master,Non-national,Male,2
2020-2021,Spring 2021,Medicine & Health Sciences,Master,National,Female,62
2020-2021,Spring 2021,Medicine & Health Sciences,Master,National,Male,1
2020-2021,Spring 2021,Medicine & Health Sciences,Master,Non-national,Female,63
2020-2021,Spring 2021,Medicine & Health Sciences,Master,Non-national,Male,9
2020-2021,Spring 2021,Science,Master,National,Female,46
2020-2021,Spring 2021,Science,Master,National,Male,5
2020-2021,Spring 2021,Science,Master,Non-national,Female,47
2020-2021,Spring 2021,Science,Master,Non-national,Male,27
2021-2022,Fall 2021,Business & Economics,Master,National,Female,30
2021-2022,Fall 2021,Business & Economics,Master,National,Male,7
2021-2022,Fall 2021,Business & Economics,Master,Non-national,Female,6
2021-2022,Fall 2021,Business & Economics,Master,Non-national,Male,6
2021-2022,Fall 2021,Education,Master,National,Female,59
2021-2022,Fall 2021,Education,Master,National,Male,2
2021-2022,Fall 2021,Education,Master,Non-national,Female,47
2021-2022,Fall 2021,Education,Master,Non-national,Male,3
2021-2022,Fall 2021,Engineering,Master,National,Female,71
2021-2022,Fall 2021,Engineering,Master,National,Male,22
2021-2022,Fall 2021,Engineering,Master,Non-national,Female,59
2021-2022,Fall 2021,Engineering,Master,Non-national,Male,99
2021-2022,Fall 2021,Agriculture & Veterinary Med.,Master,National,Female,20
2021-2022,Fall 2021,Agriculture & Veterinary Med.,Master,National,Male,4
2021-2022,Fall 2021,Agriculture & Veterinary Med.,Master,Non-national,Female,10
2021-2022,Fall 2021,Agriculture & Veterinary Med.,Master,Non-national,Male,3
2021-2022,Fall 2021,Humanities & Social Sciences,Master,National,Female,56
2021-2022,Fall 2021,Humanities & Social Sciences,Master,National,Male,5
2021-2022,Fall 2021,Humanities & Social Sciences,Master,Non-national,Female,3
2021-2022,Fall 2021,Humanities & Social Sciences,Master,Non-national,Male,1
2021-2022,Fall 2021,Information Technology,Master,National,Female,30
2021-2022,Fall 2021,Information Technology,Master,National,Male,5
2021-2022,Fall 2021,Information Technology,Master,Non-national,Female,8
2021-2022,Fall 2021,Information Technology,Master,Non-national,Male,9
2021-2022,Fall 2021,Law,Master,National,Female,32
2021-2022,Fall 2021,Law,Master,National,Male,24
2021-2022,Fall 2021,Law,Master,Non-national,Female,2
2021-2022,Fall 2021,Law,Master,Non-national,Male,2
2021-2022,Fall 2021,Medicine & Health Sciences,Master,National,Female,84
2021-2022,Fall 2021,Medicine & Health Sciences,Master,National,Male,2
2021-2022,Fall 2021,Medicine & Health Sciences,Master,Non-national,Female,77
2021-2022,Fall 2021,Medicine & Health Sciences,Master,Non-national,Male,17
2021-2022,Fall 2021,Science,Master,National,Female,47
2021-2022,Fall 2021,Science,Master,National,Male,5
2021-2022,Fall 2021,Science,Master,Non-national,Female,40
2021-2022,Fall 2021,Science,Master,Non-national,Male,30
2021-2022,Spring 2022,Agriculture & Veterinary Med.,Master,National,Female,19
2021-2022,Spring 2022,Agriculture & Veterinary Med.,Master,National,Male,1
2021-2022,Spring 2022,Agriculture & Veterinary Med.,Master,Non-national,Female,9
2021-2022,Spring 2022,Agriculture & Veterinary Med.,Master,Non-national,Male,4
2021-2022,Spring 2022,Business & Economics,Master,National,Female,27
2021-2022,Spring 2022,Business & Economics,Master,National,Male,4
2021-2022,Spring 2022,Business & Economics,Master,Non-national,Female,5
2021-2022,Spring 2022,Business & Economics,Master,Non-national,Male,5
2021-2022,Spring 2022,Education,Master,National,Female,37
2021-2022,Spring 2022,Education,Master,National,Male,1
2021-2022,Spring 2022,Education,Master,Non-national,Female,41
2021-2022,Spring 2022,Education,Master,Non-national,Male,4
2021-2022,Spring 2022,Engineering,Master,National,Female,68
2021-2022,Spring 2022,Engineering,Master,National,Male,19
2021-2022,Spring 2022,Engineering,Master,Non-national,Female,58
2021-2022,Spring 2022,Engineering,Master,Non-national,Male,104
2021-2022,Spring 2022,Humanities & Social Sciences,Master,National,Female,46
2021-2022,Spring 2022,Humanities & Social Sciences,Master,National,Male,4
2021-2022,Spring 2022,Humanities & Social Sciences,Master,Non-national,Female,4
2021-2022,Spring 2022,Humanities & Social Sciences,Master,Non-national,Male,2
2021-2022,Spring 2022,Information Technology,Master,National,Female,36
2021-2022,Spring 2022,Information Technology,Master,National,Male,7
2021-2022,Spring 2022,Information Technology,Master,Non-national,Female,8
2021-2022,Spring 2022,Information Technology,Master,Non-national,Male,8
2021-2022,Spring 2022,Law,Master,National,Female,26
2021-2022,Spring 2022,Law,Master,National,Male,17
2021-2022,Spring 2022,Law,Master,Non-national,Female,2
2021-2022,Spring 2022,Medicine & Health Sciences,Master,National,Female,95
2021-2022,Spring 2022,Medicine & Health Sciences,Master,National,Male,2
2021-2022,Spring 2022,Medicine & Health Sciences,Master,Non-national,Female,67
2021-2022,Spring 2022,Medicine & Health Sciences,Master,Non-national,Male,16
2021-2022,Spring 2022,Science,Master,National,Female,51
2021-2022,Spring 2022,Science,Master,National,Male,8
2021-2022,Spring 2022,Science,Master,Non-national,Female,43
2021-2022,Spring 2022,Science,Master,Non-national,Male,33
2022-2023,Fall 2022,Agriculture & Veterinary Med.,Master,National,Female,17
2022-2023,Fall 2022,Agriculture & Veterinary Med.,Master,National,Male,1
2022-2023,Fall 2022,Agriculture & Veterinary Med.,Master,Non-national,Female,4
2022-2023,Fall 2022,Agriculture & Veterinary Med.,Master,Non-national,Male,1
2022-2023,Fall 2022,Business & Economics,Master,National,Female,23
2022-2023,Fall 2022,Business & Economics,Master,National,Male,9
2022-2023,Fall 2022,Business & Economics,Master,Non-national,Female,7
2022-2023,Fall 2022,Business & Economics,Master,Non-national,Male,8
2022-2023,Fall 2022,Education,Master,National,Female,54
2022-2023,Fall 2022,Education,Master,National,Male,2
2022-2023,Fall 2022,Education,Master,Non-national,Female,53
2022-2023,Fall 2022,Education,Master,Non-national,Male,7
2022-2023,Fall 2022,Engineering,Master,National,Female,65
2022-2023,Fall 2022,Engineering,Master,National,Male,18
2022-2023,Fall 2022,Engineering,Master,Non-national,Female,51
2022-2023,Fall 2022,Engineering,Master,Non-national,Male,96
2022-2023,Fall 2022,Humanities & Social Sciences,Master,National,Female,60
2022-2023,Fall 2022,Humanities & Social Sciences,Master,National,Male,2
2022-2023,Fall 2022,Humanities & Social Sciences,Master,Non-national,Female,6
2022-2023,Fall 2022,Humanities & Social Sciences,Master,Non-national,Male,2
2022-2023,Fall 2022,Information Technology,Master,National,Female,29
2022-2023,Fall 2022,Information Technology,Master,National,Male,8
2022-2023,Fall 2022,Information Technology,Master,Non-national,Female,9
2022-2023,Fall 2022,Information Technology,Master,Non-national,Male,6
2022-2023,Fall 2022,Law,Master,National,Female,18
2022-2023,Fall 2022,Law,Master,National,Male,19
2022-2023,Fall 2022,Law,Master,Non-national,Female,4
2022-2023,Fall 2022,Law,Master,Non-national,Male,2
2022-2023,Fall 2022,Medicine & Health Sciences,Master,National,Female,96
2022-2023,Fall 2022,Medicine & Health Sciences,Master,National,Male,2
2022-2023,Fall 2022,Medicine & Health Sciences,Master,Non-national,Female,85
2022-2023,Fall 2022,Medicine & Health Sciences,Master,Non-national,Male,18
2022-2023,Fall 2022,Science,Master,National,Female,39
2022-2023,Fall 2022,Science,Master,National,Male,7
2022-2023,Fall 2022,Science,Master,Non-national,Female,38
2022-2023,Fall 2022,Science,Master,Non-national,Male,28
2022-2023,Spring 2023,Agriculture & Veterinary Med.,Master,National,Female,19
2022-2023,Spring 2023,Agriculture & Veterinary Med.,Master,Non-national,Female,9
2022-2023,Spring 2023,Agriculture & Veterinary Med.,Master,Non-national,Male,3
2022-2023,Spring 2023,Business & Economics,Master,National,Female,24
2022-2023,Spring 2023,Business & Economics,Master,National,Male,11
2022-2023,Spring 2023,Business & Economics,Master,Non-national,Female,9
2022-2023,Spring 2023,Business & Economics,Master,Non-national,Male,8
2022-2023,Spring 2023,Education,Master,National,Female,31
2022-2023,Spring 2023,Education,Master,National,Male,1
2022-2023,Spring 2023,Education,Master,Non-national,Female,40
2022-2023,Spring 2023,Education,Master,Non-national,Male,5
2022-2023,Spring 2023,Engineering,Master,National,Female,75
2022-2023,Spring 2023,Engineering,Master,National,Male,16
2022-2023,Spring 2023,Engineering,Master,Non-national,Female,63
2022-2023,Spring 2023,Engineering,Master,Non-national,Male,86
2022-2023,Spring 2023,Humanities & Social Sciences,Master,National,Female,48
2022-2023,Spring 2023,Humanities & Social Sciences,Master,National,Male,3
2022-2023,Spring 2023,Humanities & Social Sciences,Master,Non-national,Female,7
2022-2023,Spring 2023,Humanities & Social Sciences,Master,Non-national,Male,2
2022-2023,Spring 2023,Information Technology,Master,National,Female,32
2022-2023,Spring 2023,Information Technology,Master,National,Male,10
2022-2023,Spring 2023,Information Technology,Master,Non-national,Female,10
2022-2023,Spring 2023,Information Technology,Master,Non-national,Male,7
2022-2023,Spring 2023,Law,Master,National,Female,19
2022-2023,Spring 2023,Law,Master,National,Male,21
2022-2023,Spring 2023,Law,Master,Non-national,Female,3
2022-2023,Spring 2023,Law,Master,Non-national,Male,2
2022-2023,Spring 2023,Medicine & Health Sciences,Master,National,Female,91
2022-2023,Spring 2023,Medicine & Health Sciences,Master,National,Male,2
2022-2023,Spring 2023,Medicine & Health Sciences,Master,Non-national,Female,89
2022-2023,Spring 2023,Medicine & Health Sciences,Master,Non-national,Male,16
2022-2023,Spring 2023,Science,Master,National,Female,48
2022-2023,Spring 2023,Science,Master,National,Male,10
2022-2023,Spring 2023,Science,Master,Non-national,Female,38
2022-2023,Spring 2023,Science,Master,Non-national,Male,31
